alpha,qwk_fixed,mae_raw,rmse_raw,severe_error_count,prediction_min,prediction_max,prediction_mean,prediction_std,fold_qwk_mean,fold_qwk_std,fold_rmse_mean,fold_rmse_std,selected_by_fixed_qwk
0.3000000000,0.7537535588,0.5005990031,0.6328974772,297,0.2685018480,6.2715892792,2.9728723408,0.8825108386,0.7536832718,0.0088355736,0.6328414461,0.0093531788,False
1.0000000000,0.7584540519,0.4838593108,0.6124413166,246,0.4434181750,6.0542268753,2.9729521375,0.8436104620,0.7583991005,0.0083290236,0.6123769506,0.0098635879,True
3.0000000000,0.7489482825,0.4822121890,0.6097331456,253,0.5944949985,5.7323923111,2.9718205186,0.7902066303,0.7488779365,0.0100782813,0.6096674541,0.0099414144,False
