fold,train_rows,validation_rows,style_iterations,style_rmse,blend_fixed_qwk,calibration_qwk,validation_calibrated_qwk,threshold_1,threshold_2,threshold_3,threshold_4,threshold_5
0,12460,3116,153,0.6655674528,0.7512565099,0.8066417543,0.7950379025,1.8397989080,2.6322276619,3.3450333635,4.0741040469,4.6735262340
1,12461,3115,187,0.6680640288,0.7567462007,0.8049739436,0.8031922449,1.9434947738,2.6429805691,3.3250662994,4.0740446437,4.6763323473
2,12461,3115,136,0.6527186450,0.7649914555,0.8026860393,0.8108546105,1.8492379892,2.6429633028,3.3166043376,4.1393793865,4.7401389782
3,12461,3115,152,0.6499645345,0.7638101934,0.8052546399,0.8017945395,1.9433690508,2.6429713791,3.3170098243,4.0925504121,4.6750412104
4,12461,3115,188,0.6600302890,0.7587077113,0.8056279106,0.7985264085,1.9050094146,2.6296530232,3.3265225898,4.1349939243,4.6641449923
